id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
1,Arrays,Easy,challenges/arrays-ds/arrays-ds.pdf,challenges/arrays-ds/input/input08.txt : challenges/arrays-ds/output/output08.txt,,,,,,,
2,Arrays,Easy,challenges/2d-array/2d-array.pdf,challenges/2d-array/input/input00.txt : challenges/2d-array/output/output00.txt , challenges/2d-array/input/input01.txt : challenges/2d-array/output/output01.txt , challenges/2d-array/input/input08.txt : challenges/2d-array/output/output08.txt,,,,,
3,Arrays,Easy,challenges/dynamic-array/dynamic-array.pdf,challenges/dynamic-array/input/input10.txt : challenges/dynamic-array/output/output10.txt,,,,,,,
4,Arrays,Easy,challenges/array-left-rotation/array-left-rotation.pdf,challenges/array-left-rotation/input/input00.txt : challenges/array-left-rotation/output/output00.txt,,,,,,,
5,Arrays,Medium,challenges/sparse-arrays/sparse-arrays.pdf,challenges/sparse-arrays/input/input10.txt : challenges/sparse-arrays/output/output10.txt , challenges/sparse-arrays/input/input11.txt : challenges/sparse-arrays/output/output11.txt , challenges/sparse-arrays/input/input12.txt : challenges/sparse-arrays/output/output12.txt,,,,,
6,Arrays,Hard,challenges/crush/crush.pdf,challenges/crush/input/input00.txt : challenges/crush/output/output00.txt , challenges/crush/input/input14.txt : challenges/crush/output/output14.txt , challenges/crush/input/input15.txt : challenges/crush/output/output15.txt,,,,,
7,Linked Lists,Easy,challenges/print-the-elements-of-a-linked-list/print-the-elements-of-a-linked-list.pdf,challenges/print-the-elements-of-a-linked-list/input/input00.txt : challenges/print-the-elements-of-a-linked-list/output/output00.txt , challenges/print-the-elements-of-a-linked-list/input/input01.txt : challenges/print-the-elements-of-a-linked-list/output/output01.txt,,,,,,
8,Linked Lists,Easy,challenges/insert-a-node-at-the-tail-of-a-linked-list/insert-a-node-at-the-tail-of-a-linked-list.pdf,challenges/insert-a-node-at-the-tail-of-a-linked-list/input/input00.txt : challenges/insert-a-node-at-the-tail-of-a-linked-list/output/output00.txt , challenges/insert-a-node-at-the-tail-of-a-linked-list/input/input01.txt : challenges/insert-a-node-at-the-tail-of-a-linked-list/output/output01.txt,,,,,,
9,Linked Lists,Easy,challenges/insert-a-node-at-the-head-of-a-linked-list/insert-a-node-at-the-head-of-a-linked-list.pdf,challenges/insert-a-node-at-the-head-of-a-linked-list/input/input00.txt : challenges/insert-a-node-at-the-head-of-a-linked-list/output/output00.txt , challenges/insert-a-node-at-the-head-of-a-linked-list/input/input01.txt : challenges/insert-a-node-at-the-head-of-a-linked-list/output/output01.txt,,,,,,
10,Linked Lists,Easy,challenges/insert-a-node-at-a-specific-position-in-a-linked-list/insert-a-node-at-a-specific-position-in-a-linked-list.pdf,challenges/insert-a-node-at-a-specific-position-in-a-linked-list/input/input00.txt : challenges/insert-a-node-at-a-specific-position-in-a-linked-list/output/output00.txt , challenges/insert-a-node-at-a-specific-position-in-a-linked-list/input/input01.txt : challenges/insert-a-node-at-a-specific-position-in-a-linked-list/output/output01.txt , challenges/insert-a-node-at-a-specific-position-in-a-linked-list/input/input09.txt : challenges/insert-a-node-at-a-specific-position-in-a-linked-list/output/output09.txt,,,,,
